organism_1	organism_2	orthogroup	orthologs_organism_1	orthologs_organism_2
655844	5530	OG0000018	XP_011411108.1, XP_007826688.1, XP_007826252.2	KID59413.1, KID59618.1, KID59143.1, KID59347.1, KID59612.1
655844	5530	OG0000019	XP_007824357.2	KID70559.1
655844	5530	OG0000019	XP_007821864.1	KID68645.1
655844	5530	OG0000019	XP_007824890.1	KID59233.1
655844	5530	OG0000019	XP_007825825.1	KID64661.1
655844	5530	OG0000020	XP_007823934.2	KID59669.1
655844	5530	OG0000020	XP_007819428.2	KID71243.1
655844	5530	OG0000020	XP_011410767.1	KID61089.1
655844	5530	OG0000020	XP_007826081.1	KID61633.1
655844	5530	OG0000021	XP_007823951.1	KID59685.1
655844	5530	OG0000021	XP_007819549.1	KID69506.1
655844	5530	OG0000021	XP_007822819.1	KID65279.1
655844	5530	OG0000021	XP_007823109.1	KID63993.1
655844	5530	OG0000022	XP_007825913.1	KID64433.1
655844	5530	OG0000022	XP_007824639.2	KID65884.1
655844	5530	OG0000022	XP_007821103.1	KID59889.1
655844	5530	OG0000022	XP_007821745.1	KID68768.1
655844	5530	OG0000023	XP_007819436.1	KID71251.1
655844	5530	OG0000023	XP_007826636.2	KID61195.1
655844	5530	OG0000023	XP_007822932.1	KID65152.1
655844	5530	OG0000023	XP_007818717.1	KID71935.1
655844	5530	OG0000024	XP_007824006.1	KID62578.1
655844	5530	OG0000024	XP_007825994.1	KID65055.1
655844	5530	OG0000024	XP_007819415.1, XP_007825408.2	KID62629.1
655844	5530	OG0000025	XP_007824096.1	KID65663.1
655844	5530	OG0000025	XP_007826282.1	KID69189.1
655844	5530	OG0000025	XP_007820684.1	KID63180.1
655844	5530	OG0000025	XP_007824038.1	KID62613.1
655844	5530	OG0000026	XP_007816845.1	KID64768.1
655844	5530	OG0000026	XP_007822707.1	KID70947.1
655844	5530	OG0000026	XP_007818331.1	KID67531.1
655844	5530	OG0000026	XP_007823896.1	KID63427.1
655844	5530	OG0000027	XP_007823124.1	KID64008.1
655844	5530	OG0000027	XP_007820125.1	KID66856.1
655844	5530	OG0000027	XP_007824308.2	KID70616.1
655844	5530	OG0000027	XP_007825900.1	KID64419.1
655844	5530	OG0000028	XP_007826311.2, XP_007824261.1, XP_007820601.2	KID66422.1
655844	5530	OG0000028	XP_007824196.1, XP_007817081.1, XP_007825588.1	KID67057.1
655844	5530	OG0000029	XP_007826337.2	KID67002.1
655844	5530	OG0000029	XP_007826642.1, XP_007817117.2, XP_007816573.2, XP_007816551.2	KID59386.1
655844	5530	OG0000030	XP_007817352.1	KID61848.1
655844	5530	OG0000030	XP_007826120.2	KID65071.1
655844	5530	OG0000030	XP_007817797.2, XP_007824830.2	KID59457.1
655844	5530	OG0000031	XP_007817129.2	KID59545.1
655844	5530	OG0000031	XP_011411278.1, XP_007826761.1, XP_007826369.2, XP_007826766.1	KID59544.1
655844	5530	OG0000032	XP_007816284.2	KID59607.1
655844	5530	OG0000032	XP_011410764.1	KID61078.1
655844	5530	OG0000032	XP_007823889.2	KID63419.1
655844	5530	OG0000033	XP_007823087.1	KID63967.1
655844	5530	OG0000033	XP_007825207.2	KID70446.1
655844	5530	OG0000033	XP_007826146.1, XP_007816604.1	KID59624.1
655844	5530	OG0000034	XP_007824534.2	KID61113.1
655844	5530	OG0000034	XP_007825232.1	KID64208.1
655844	5530	OG0000034	XP_007817405.2, XP_007817485.1	KID64606.1
655844	5530	OG0000035	XP_007823077.2	KID63955.1
655844	5530	OG0000035	XP_007817601.2	KID64388.1
655844	5530	OG0000035	XP_007816241.2	KID66343.1
655844	5530	OG0000036	XP_007825849.2	KID68198.1
655844	5530	OG0000036	XP_007824215.1, XP_007822350.2, XP_007825235.1, XP_007825464.2	KID64417.1
655844	5530	OG0000037	XP_011411735.1	KID59172.1, KID59173.1, KID59186.1, KID59146.1, KID59583.1
655844	5530	OG0000038	XP_007816283.2	KID59383.1
655844	5530	OG0000038	XP_011410945.1, XP_007826534.2, XP_007826707.1	KID59257.1
655844	5530	OG0000039	XP_007826715.1, XP_007817125.2, XP_011411740.1	KID60202.1, KID60256.1, KID59322.1
655844	5530	OG0000040	XP_007816557.1	KID59350.1, KID59403.1, KID59351.1, KID60250.1, KID60196.1
655844	5530	OG0000041	XP_007824869.1	KID59499.1
655844	5530	OG0000041	XP_007825022.1	KID63257.1
655844	5530	OG0000041	XP_011411549.1	KID63848.1
655844	5530	OG0000042	XP_007824877.1	KID59506.1
655844	5530	OG0000042	XP_007818595.2	KID62213.1
655844	5530	OG0000042	XP_011410849.1	KID65119.1
655844	5530	OG0000043	XP_007819440.1, XP_007822315.2	KID60263.1
655844	5530	OG0000043	XP_007817074.2	KID60209.1, KID59571.1
655844	5530	OG0000044	XP_007825430.1	KID62647.1
655844	5530	OG0000044	XP_007825327.1	KID59602.1
655844	5530	OG0000044	XP_007819976.1	KID69947.1
655844	5530	OG0000045	XP_007826366.2, XP_007817833.1	KID63536.1
655844	5530	OG0000045	XP_007826253.2	KID59626.1, KID59619.1
655844	5530	OG0000046	XP_007825877.1	KID68172.1
655844	5530	OG0000046	XP_007820910.2	KID60779.1
655844	5530	OG0000046	XP_007826235.2	KID59660.1
655844	5530	OG0000047	XP_007824649.2	KID65895.1
655844	5530	OG0000047	XP_007816350.1	KID62900.1
655844	5530	OG0000047	XP_007826239.2	KID59668.1
655844	5530	OG0000048	XP_007825201.2	KID70453.1
655844	5530	OG0000048	XP_007822946.2	KID65136.1
655844	5530	OG0000048	XP_007823946.1	KID59680.1
655844	5530	OG0000049	XP_011411377.1	KID71592.1
655844	5530	OG0000049	XP_007823957.2	KID59696.1
655844	5530	OG0000049	XP_007819783.2	KID69749.1
655844	5530	OG0000050	XP_007823967.2	KID59706.1
655844	5530	OG0000050	XP_007825781.1	KID64620.1
655844	5530	OG0000050	XP_007819451.1	KID69413.1
655844	5530	OG0000051	XP_007822415.2	KID61333.1
655844	5530	OG0000051	XP_007825257.1	KID59787.1
655844	5530	OG0000051	XP_007826046.1	KID65000.1
655844	5530	OG0000052	XP_007821070.2	KID59925.1
655844	5530	OG0000052	XP_007819525.1	KID69479.1
655844	5530	OG0000052	XP_007817497.2	KID64593.1
655844	5530	OG0000053	XP_007821361.1	KID70773.1
655844	5530	OG0000053	XP_011410962.1	KID60271.1, KID60218.1, KID59961.1
655844	5530	OG0000054	XP_007822871.1	KID65222.1, KID60261.1
655844	5530	OG0000054	XP_007816590.2	KID60208.1, KID60262.1
655844	5530	OG0000055	XP_011411528.1	KID66832.1
655844	5530	OG0000055	XP_007816962.1	KID60365.1
655844	5530	OG0000055	XP_007825330.1	KID65803.1
655844	5530	OG0000056	XP_007825534.2	KID60991.1
655844	5530	OG0000056	XP_007816878.1	KID60448.1
655844	5530	OG0000056	XP_007817267.2	KID65979.1
655844	5530	OG0000057	XP_007824338.1	KID70580.1
655844	5530	OG0000057	XP_007825765.1	KID66248.1
655844	5530	OG0000057	XP_007826163.1	KID60540.1
655844	5530	OG0000058	XP_007817111.1	KID60558.1
655844	5530	OG0000058	XP_007816501.1	KID62748.1
655844	5530	OG0000058	XP_007825561.1	KID67029.1
655844	5530	OG0000059	XP_007818510.1	KID62168.1
655844	5530	OG0000059	XP_007823737.1	KID60621.1
655844	5530	OG0000059	XP_007822337.1	KID61245.1
655844	5530	OG0000060	XP_007823720.2	KID60641.1
655844	5530	OG0000060	XP_007818253.1	KID67449.1
655844	5530	OG0000060	XP_007822825.1	KID65271.1
655844	5530	OG0000061	XP_007823684.1	KID60678.1
655844	5530	OG0000061	XP_007824016.1	KID62589.1
655844	5530	OG0000061	XP_007819470.1	KID69427.1
655844	5530	OG0000062	XP_007826614.1	KID64998.1
655844	5530	OG0000062	XP_007816681.1	KID70176.1
655844	5530	OG0000062	XP_007824788.2	KID61032.1
655844	5530	OG0000063	XP_007817328.1	KID61875.1
655844	5530	OG0000063	XP_007817831.1	KID63538.1
655844	5530	OG0000063	XP_007826640.2	KID61199.1
655844	5530	OG0000064	XP_007826573.1	KID61359.1
655844	5530	OG0000064	XP_007822921.1	KID65165.1
655844	5530	OG0000064	XP_007819720.2	KID69684.1
655844	5530	OG0000065	XP_007825999.2	KID65049.1
655844	5530	OG0000065	XP_007824912.2	KID69313.1
655844	5530	OG0000065	XP_007826193.1	KID61367.1
655844	5530	OG0000066	XP_007822971.1	KID63843.1
655844	5530	OG0000066	XP_007823120.1, XP_007817471.1, XP_007817137.2	KID61408.1
655844	5530	OG0000067	XP_007825906.1	KID64426.1
655844	5530	OG0000067	XP_007824194.1	KID61447.1
655844	5530	OG0000067	XP_007820597.1	KID66425.1
655844	5530	OG0000068	XP_007821722.1	KID68793.1
655844	5530	OG0000068	XP_007825697.2	KID61682.1
655844	5530	OG0000068	XP_007818824.2	KID71822.1
655844	5530	OG0000069	XP_007817368.2	KID61831.1
655844	5530	OG0000069	XP_007826307.1	KID64411.1
655844	5530	OG0000069	XP_007817619.1	KID64369.1
655844	5530	OG0000070	XP_007823918.1	KID63452.1
655844	5530	OG0000070	XP_007824611.1	KID65855.1
655844	5530	OG0000070	XP_007820733.2	KID62329.1
655844	5530	OG0000071	XP_007816496.2	KID62753.1
655844	5530	OG0000071	XP_007821662.1	KID68854.1
655844	5530	OG0000071	XP_007821658.1	KID68858.1
655844	5530	OG0000072	XP_007819298.1	KID71368.1
655844	5530	OG0000072	XP_007822813.2	KID65285.1
655844	5530	OG0000072	XP_007820722.2	KID63220.1
655844	5530	OG0000073	XP_007823885.1	KID63412.1
655844	5530	OG0000073	XP_007821955.1	KID68549.1
655844	5530	OG0000073	XP_007818986.1	KID71735.1
655844	5530	OG0000074	XP_007819536.2	KID69490.1
655844	5530	OG0000074	XP_007823915.2	KID63448.1
655844	5530	OG0000074	XP_007817886.2	KID63509.1
655844	5530	OG0000075	XP_007823429.2	KID63721.1
655844	5530	OG0000075	XP_007824955.1	KID69258.1
655844	5530	OG0000075	XP_007824147.1	KID65608.1
655844	5530	OG0000076	XP_007823009.1	KID63882.1
655844	5530	OG0000076	XP_007818756.2	KID71893.1
655844	5530	OG0000076	XP_007821423.1	KID70705.1
655844	5530	OG0000077	XP_007825754.2	KID66259.1
655844	5530	OG0000077	XP_007823121.1	KID64005.1
655844	5530	OG0000077	XP_007824642.1	KID65887.1
655844	5530	OG0000078	XP_007825995.2	KID65054.1
655844	5530	OG0000078	XP_007819035.1	KID71641.1
655844	5530	OG0000078	XP_007817694.2	KID64292.1
655844	5530	OG0000079	XP_007817651.1	KID64335.1
655844	5530	OG0000079	XP_007818851.1	KID71794.1
655844	5530	OG0000079	XP_007819068.1	KID71607.1
655844	5530	OG0000080	XP_007819152.1	KID71524.1
655844	5530	OG0000080	XP_007818407.1	KID67614.1
655844	5530	OG0000080	XP_007826095.2	KID65106.1
655844	5530	OG0000081	XP_007821284.1	KID70854.1
655844	5530	OG0000081	XP_007821251.1	KID70888.1
655844	5530	OG0000081	XP_007823240.2	KID67978.1
655844	5530	OG0000082	XP_007817062.2	KID59592.1, KID59154.1, KID59137.1, KID59164.1
655844	5530	OG0000083	XP_007817463.1, XP_007826661.1	KID59376.1, KID67004.1, KID59140.1
655844	5530	OG0000084	XP_007817071.1	KID59601.1
655844	5530	OG0000084	XP_011411453.1	KID59144.1, KID59159.1
655844	5530	OG0000085	XP_007826364.2, XP_007817061.2	KID59165.1, KID59593.1, KID59155.1
655844	5530	OG0000086	XP_011411724.1	KID59160.1
655844	5530	OG0000086	XP_011411714.1	KID59161.1, KID59598.1
655844	5530	OG0000087	XP_007816589.2	KID59210.1
655844	5530	OG0000087	XP_007817596.1, XP_011411106.1	KID67012.1
655844	5530	OG0000088	XP_007826647.1	KID59262.1, KID59425.1, KID59396.1, KID59424.1
655844	5530	OG0000089	XP_007825300.1	KID59361.1
655844	5530	OG0000089	XP_007825302.1, XP_007816474.1	KID62777.1
655844	5530	OG0000090	XP_007816560.2	KID59416.1
655844	5530	OG0000090	XP_011410958.1	KID60705.1, KID59418.1
655844	5530	OG0000091	XP_007824223.1	KID61440.1
655844	5530	OG0000091	XP_007826363.1, XP_007824868.1	KID59497.1
655844	5530	OG0000092	XP_007817955.2	KID67139.1
655844	5530	OG0000092	XP_007826703.1	KID60712.1, KID59534.1
655844	5530	OG0000093	XP_007825314.1	KID59555.1
655844	5530	OG0000093	XP_007826460.1, XP_007818338.1	KID67540.1
655844	5530	OG0000094	XP_007816307.1	KID59606.1
655844	5530	OG0000094	XP_011410927.1, XP_007825586.1	KID67055.1
655844	5530	OG0000095	XP_007816505.1	KID62743.1
655844	5530	OG0000095	XP_007821577.1	KID59621.1, KID62055.1
655844	5530	OG0000096	XP_007826232.2	KID59658.1
655844	5530	OG0000096	XP_007826033.2	KID69212.1, KID65013.1
655844	5530	OG0000097	XP_007826233.2	KID59659.1
655844	5530	OG0000097	XP_011411290.1, XP_007825875.1	KID68173.1
655844	5530	OG0000098	XP_007816602.1	KID60272.1, KID60219.1
655844	5530	OG0000098	XP_007825262.2	KID59782.1
655844	5530	OG0000099	XP_007824813.2	KID61005.1
655844	5530	OG0000099	XP_011411250.1, XP_007822440.2	KID61354.1
655844	5530	OG0000100	XP_007824166.1	KID61474.1
655844	5530	OG0000100	XP_007817218.2	KID61450.1, KID66036.1
655844	5530	OG0000101	XP_007825706.1	KID61674.1
655844	5530	OG0000101	XP_011411749.1, XP_007816288.1	KID66280.1
655844	5530	OG0000102	XP_007816620.2	KID70237.1
655844	5530	OG0000102	XP_007817839.2, XP_007816346.2	KID62902.1
655844	5530	OG0000103	XP_011411853.1	KID64640.1
655844	5530	OG0000103	XP_011411449.1, XP_007823153.1	KID64037.1
655844	5530	OG0000104	XP_007817642.1	KID64346.1
655844	5530	OG0000104	XP_007826543.2, XP_007825734.1	KID66277.1
655844	5530	OG0000105	XP_007816664.1	KID70192.1
655844	5530	OG0000105	XP_007826344.1, XP_007825943.1	KID64467.1
655844	5530	OG0000106	XP_007820005.1	KID69977.1
655844	5530	OG0000106	XP_007817106.1, XP_007824141.1	KID65615.1
655844	5530	OG0000107	XP_007822018.1	KID68489.1
655844	5530	OG0000107	XP_011411192.1	KID65934.1, KID70098.1
655844	5530	OG0000108	XP_011411732.1, XP_007826393.2, XP_007826394.2, XP_007824209.2	KID66883.1
655844	5530	OG0000109	XP_007818054.1	KID67241.1
655844	5530	OG0000109	XP_007826356.1, XP_007825210.1	KID70443.1
655844	5530	OG0000110	XP_007818968.2	KID71711.1
655844	5530	OG0000110	XP_011411361.1, XP_007823374.2	KID68130.1
655844	5530	OG0000111	XP_007821458.1	KID70663.1
655844	5530	OG0000111	XP_011411159.1, XP_007821693.1	KID68824.1
655844	5530	OG0000112	XP_007826137.1	KID69089.1
655844	5530	OG0000112	XP_007817796.1, XP_007824713.1	KID69131.1
655844	5530	OG0000113	XP_007822306.1, XP_007824277.1, XP_007825715.1, XP_007822938.1	KID70458.1
655844	5530	OG0000114	XP_007826747.2	KID59149.1, KID59184.1, KID59150.1
655844	5530	OG0000115	XP_011411717.1	KID59166.1, KID59156.1, KID59594.1
655844	5530	OG0000116	XP_007817069.2	KID59170.1, KID59162.1, KID59585.1
655844	5530	OG0000117	XP_007817070.1	KID59163.1, KID59171.1, KID59584.1
655844	5530	OG0000118	XP_007826067.2	KID61647.1
655844	5530	OG0000118	XP_007817121.1	KID59190.1
655844	5530	OG0000119	XP_007824506.1	KID61143.1
655844	5530	OG0000119	XP_007817100.2	KID59191.1
655844	5530	OG0000120	XP_007825891.2	KID68154.1
655844	5530	OG0000120	XP_007824888.1	KID59235.1
655844	5530	OG0000121	XP_007826643.1	KID59321.1, KID60255.1, KID60201.1
655844	5530	OG0000122	XP_007817057.2, XP_011411703.1, XP_007817468.2	KID59328.1
655844	5530	OG0000123	XP_007817579.2	KID59334.1, KID60223.1, KID60276.1
655844	5530	OG0000124	XP_007817138.2, XP_007826208.2, XP_007817119.2	KID59339.1
655844	5530	OG0000125	XP_007816599.2, XP_007824651.1	KID59352.1, KID60707.1
655844	5530	OG0000126	XP_007817080.1, XP_007817779.2, XP_007817593.1	KID59354.1
655844	5530	OG0000127	XP_007823860.1, XP_007821462.2, XP_007823858.1	KID59382.1
655844	5530	OG0000128	XP_007818783.2	KID71866.1
655844	5530	OG0000128	XP_007824834.1	KID59461.1
655844	5530	OG0000129	XP_007824838.1	KID59465.1
655844	5530	OG0000129	XP_007817857.2	KID63476.1
655844	5530	OG0000130	XP_007824862.1	KID59490.1
655844	5530	OG0000130	XP_007826211.2	KID61387.1
655844	5530	OG0000131	XP_007824870.1	KID59500.1
655844	5530	OG0000131	XP_007825381.1	KID65752.1
655844	5530	OG0000132	XP_007820607.1	KID66417.1
655844	5530	OG0000132	XP_007824876.2	KID59505.1
655844	5530	OG0000133	XP_007824396.2	KID61544.1
655844	5530	OG0000133	XP_007824878.1	KID59507.1
655844	5530	OG0000134	XP_007819707.1	KID69670.1
655844	5530	OG0000134	XP_007817088.1	KID59530.1
655844	5530	OG0000135	XP_007817127.1	KID59541.1
655844	5530	OG0000135	XP_007821973.1	KID68531.1
655844	5530	OG0000136	XP_007820573.1	KID66451.1
655844	5530	OG0000136	XP_007817130.1	KID59542.1
655844	5530	OG0000137	XP_011411101.1	KID65882.1
655844	5530	OG0000137	XP_011411439.1	KID59554.1
655844	5530	OG0000138	XP_007822592.1	KID71068.1
655844	5530	OG0000138	XP_007816303.2	KID59603.1
655844	5530	OG0000139	XP_007826357.1	KID59613.1
655844	5530	OG0000139	XP_007819649.1	KID69611.1
655844	5530	OG0000140	XP_011411104.1	KID59615.1
655844	5530	OG0000140	XP_007822379.1	KID61290.1
655844	5530	OG0000141	XP_007816592.2	KID59617.1, KID60213.1, KID60267.1
655844	5530	OG0000142	XP_007818049.1	KID67236.1
655844	5530	OG0000142	XP_007826236.2	KID59661.1
655844	5530	OG0000143	XP_007826237.2	KID59662.1
655844	5530	OG0000143	XP_007822053.1	KID68454.1
655844	5530	OG0000144	XP_007824554.1	KID61094.1
655844	5530	OG0000144	XP_007823936.2	KID59671.1
655844	5530	OG0000145	XP_007826087.1	KID61626.1
655844	5530	OG0000145	XP_007823937.1	KID59672.1
655844	5530	OG0000146	XP_007823944.1	KID59678.1
655844	5530	OG0000146	XP_007824686.1	KID69159.1
655844	5530	OG0000147	XP_007825852.1	KID68195.1
655844	5530	OG0000147	XP_007823952.1	KID59686.1
655844	5530	OG0000148	XP_007823955.2	KID59690.1
655844	5530	OG0000148	XP_007818716.1	KID71938.1
655844	5530	OG0000149	XP_007823958.1	KID59697.1
655844	5530	OG0000149	XP_007820297.2	KID66738.1
655844	5530	OG0000150	XP_007817920.1	KID67100.1
655844	5530	OG0000150	XP_007823959.1	KID59698.1
655844	5530	OG0000151	XP_007823960.1	KID59699.1
655844	5530	OG0000151	XP_007823243.1	KID67983.1
655844	5530	OG0000152	XP_007823971.2	KID59710.1
655844	5530	OG0000152	XP_007822924.2	KID65161.1
655844	5530	OG0000153	XP_007826108.2	KID65089.1
655844	5530	OG0000153	XP_007823972.2	KID59711.1
655844	5530	OG0000154	XP_011411745.1	KID64616.1
655844	5530	OG0000154	XP_007823973.1	KID59712.1
655844	5530	OG0000155	XP_007817209.1	KID66045.1
655844	5530	OG0000155	XP_007823978.1	KID59717.1
655844	5530	OG0000156	XP_007820032.1	KID70004.1
655844	5530	OG0000156	XP_011411685.1	KID59755.1
655844	5530	OG0000157	XP_007822894.1	KID65195.1
655844	5530	OG0000157	XP_007825288.1	KID59756.1
655844	5530	OG0000158	XP_007822435.2	KID71222.1
655844	5530	OG0000158	XP_007825285.2	KID59759.1
655844	5530	OG0000159	XP_007816272.1	KID66310.1
655844	5530	OG0000159	XP_011411674.1	KID59819.1
655844	5530	OG0000160	XP_007821131.1	KID59859.1
655844	5530	OG0000160	XP_007818488.1	KID67697.1
655844	5530	OG0000161	XP_007821116.1	KID59876.1
655844	5530	OG0000161	XP_007821342.1	KID70792.1
655844	5530	OG0000162	XP_007823989.1	KID62559.1
655844	5530	OG0000162	XP_007821109.1	KID59883.1
655844	5530	OG0000163	XP_007821748.1	KID68765.1
655844	5530	OG0000163	XP_007821105.1	KID59887.1
655844	5530	OG0000164	XP_007822439.1	KID61355.1
655844	5530	OG0000164	XP_007821104.1	KID59888.1
655844	5530	OG0000165	XP_007821094.2	KID59899.1
655844	5530	OG0000165	XP_007825584.1	KID67053.1
655844	5530	OG0000166	XP_007824532.1	KID61117.1
655844	5530	OG0000166	XP_007821069.1	KID59926.1
655844	5530	OG0000167	XP_007821196.1	KID63107.1
655844	5530	OG0000167	XP_007825641.1	KID59973.1
655844	5530	OG0000168	XP_007824499.1	KID61150.1
655844	5530	OG0000168	XP_007825630.1	KID59984.1
655844	5530	OG0000169	XP_007825627.1	KID59986.1
655844	5530	OG0000169	XP_007817902.1	KID67082.1
655844	5530	OG0000170	XP_007818870.1	KID71775.1
655844	5530	OG0000170	XP_007825599.2	KID60017.1
655844	5530	OG0000171	XP_007819561.2	KID69520.1
655844	5530	OG0000171	XP_007826317.2	KID60028.1
655844	5530	OG0000172	XP_007821697.1	KID68820.1
655844	5530	OG0000172	XP_007820179.1	KID60100.1
655844	5530	OG0000173	XP_007823379.1	KID68138.1
655844	5530	OG0000173	XP_007820203.1	KID60126.1
655844	5530	OG0000174	XP_007818020.1	KID67204.1
655844	5530	OG0000174	XP_007820087.2	KID60144.1
655844	5530	OG0000175	XP_007826762.2, XP_007817581.1	KID60205.1, KID60259.1
655844	5530	OG0000176	XP_007825429.2	KID62646.1
655844	5530	OG0000176	XP_007826533.2	KID60235.1
655844	5530	OG0000177	XP_007823700.2	KID60656.1
655844	5530	OG0000177	XP_007824200.2	KID60242.1
655844	5530	OG0000178	XP_007824290.1	KID70631.1
655844	5530	OG0000178	XP_007816972.1	KID60355.1
655844	5530	OG0000179	XP_007816960.1	KID60367.1
655844	5530	OG0000179	XP_007826005.1	KID65042.1
655844	5530	OG0000180	XP_007822182.1	KID68324.1
655844	5530	OG0000180	XP_007816916.2	KID60412.1
655844	5530	OG0000181	XP_007816913.1	KID60415.1
655844	5530	OG0000181	XP_007826469.2	KID67063.1
655844	5530	OG0000182	XP_007826066.1	KID61648.1
655844	5530	OG0000182	XP_007826164.2	KID60539.1
655844	5530	OG0000183	XP_007817637.1	KID64351.1
655844	5530	OG0000183	XP_007826161.1	KID60542.1
655844	5530	OG0000184	XP_007817110.1	KID60559.1
655844	5530	OG0000184	XP_007824360.1	KID70556.1
